event_id,event_name,date,location,fight_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,r_name,r_id,r_kd,r_sig_str_landed,r_sig_str_atmpted,r_sig_str_acc,r_total_str_landed,r_total_str_atmpted,r_total_str_acc,r_td_landed,r_td_atmpted,r_sub_att,r_ctrl,r_head_landed,r_head_atmpted,r_head_acc,r_body_landed,r_body_atmpted,r_body_acc,r_leg_landed,r_leg_atmpted,r_leg_acc,r_dist_landed,r_dist_atmpted,r_dist_acc,r_clinch_landed,r_clinch_atmpted,r_clinch_acc,r_ground_landed,r_ground_atmpted,r_ground_acc,r_landed_head_per,r_landed_body_per,r_landed_leg_per,r_landed_dist_per,r_landed_clinch_per,r_landed_ground_per,r_height,r_weight,r_reach,r_stance,r_dob,r_td_avg_acc,b_name,b_id,b_kd,b_sig_str_landed,b_sig_str_atmpted,b_sig_str_acc,b_total_str_landed,b_total_str_atmpted,b_total_str_acc,b_td_landed,b_td_atmpted,b_sub_att,b_ctrl,b_head_landed,b_head_atmpted,b_head_acc,b_body_landed,b_body_atmpted,b_body_acc,b_leg_landed,b_leg_atmpted,b_leg_acc,b_dist_landed,b_dist_atmpted,b_dist_acc,b_clinch_landed,b_clinch_atmpted,b_clinch_acc,b_ground_landed,b_ground_atmpted,b_ground_acc,b_landed_head_per,b_landed_body_per,b_landed_leg_per,b_landed_dist_per,b_landed_clinch_per,b_landed_ground_per,b_height,b_weight,b_reach,b_stance,b_dob,b_td_avg_acc,winner,winner_id,winner_corner,label,r_wins,r_losses,r_draws,r_total_fights,r_current_win_streak,r_current_lose_streak,r_longest_win_streak,r_longest_lose_streak,r_momentum,r_momentum_ema,b_wins,b_losses,b_draws,b_total_fights,b_current_win_streak,b_current_lose_streak,b_longest_win_streak,b_longest_lose_streak,b_momentum,b_momentum_ema,r_wins_ko,r_wins_sub,r_wins_dec,r_losses_ko,r_losses_sub,r_losses_dec,b_wins_ko,b_wins_sub,b_wins_dec,b_losses_ko,b_losses_sub,b_losses_dec,r_age,b_age,r_days_since_last_fight,r_days_since_debut,b_days_since_last_fight,b_days_since_debut,total_match_time_min,r_SLpM,r_Str_Acc,r_SApM,r_Str_Def,r_TD_Avg,r_TD_Acc,r_TD_Def,r_Sub_Avg,b_SLpM,b_Str_Acc,b_SApM,b_Str_Def,b_TD_Avg,b_TD_Acc,b_TD_Def,b_Sub_Avg,r_TSLpM,r_TStr_Acc,r_CtrlpM,r_HeadSLpM,r_BodySLpM,r_LegSLpM,r_DistSLpM,r_ClinchSLpM,r_GroundSLpM,b_TSLpM,b_TStr_Acc,b_CtrlpM,b_HeadSLpM,b_BodySLpM,b_LegSLpM,b_DistSLpM,b_ClinchSLpM,b_GroundSLpM,r_TSApM,r_TStr_Def,r_OpCtrlpM,r_HeadSApM,r_BodySApM,r_LegSApM,r_DistSApM,r_ClinchSApM,r_GroundSApM,b_TSApM,b_TStr_Def,b_OpCtrlpM,b_HeadSApM,b_BodySApM,b_LegSApM,b_DistSApM,b_ClinchSApM,b_GroundSApM,r_td_acc,b_td_acc
2b1587a3376ab743,UFC 30: Battle on the Boardwalk,2001-02-23,"Atlantic City, New Jersey, USA",f8820294bbe01486,light heavyweight,Yes,KO/TKO,1,32,Five,Tito Ortiz,2f732dd9210d301f,0.0,7.0,7.0,100.0,7.0,7.0,100.0,1.0,1.0,0.0,1.0,4.0,4.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,4.0,4.0,100.0,2.0,2.0,100.0,57.0,28.0,14.0,14.0,57.0,28.0,190.5,92.99,187.96,Orthodox,1975-01-23,35,Evan Tanner,8f2d9ee27f206f1f,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.88,83.91,187.96,Orthodox,1971-02-11,43,Tito Ortiz,2f732dd9210d301f,Red,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,30.0,,0.0,,0.0,0.5333333333333333,13.125,100.0,0.0,100.0,28.125,100.0,0.0,0.0,0.0,0.0,13.125,0.0,0.0,0.0,0.0,0.0,13.125,100.0,1.875,7.5,3.75,1.875,1.875,7.5,3.75,0.0,0.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,13.125,0.0,1.875,7.5,3.75,1.875,1.875,7.5,3.75,100.0,0.0
2b1587a3376ab743,UFC 30: Battle on the Boardwalk,2001-02-23,"Atlantic City, New Jersey, USA",a38ec65ac140fcf8,lightweight,Yes,Decision - Unanimous,5,300,Five,Jens Pulver,44260175069b6276,0.0,50.0,131.0,38.168,103.0,185.0,55.676,0.0,0.0,0.0,220.0,38.0,118.0,32.203,6.0,7.0,85.714,6.0,6.0,100.0,31.0,96.0,32.292,18.0,30.0,60.0,1.0,5.0,20.0,76.0,12.0,12.0,62.0,36.0,2.0,170.18,65.77,177.8,Southpaw,1974-12-06,33,Caol Uno,eb1723480fa2f96c,0.0,50.0,101.0,49.505,56.0,107.0,52.336,3.0,25.0,0.0,114.0,29.0,70.0,41.429,4.0,5.0,80.0,17.0,26.0,65.385,41.0,89.0,46.067,7.0,10.0,70.0,2.0,2.0,100.0,58.0,8.0,34.0,82.0,14.0,4.0,170.18,70.31,177.8,Southpaw,1975-05-08,31,Jens Pulver,44260175069b6276,Red,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,25.0,,0.0,,0.0,25.0,2.0,38.168,2.0,50.495,0.0,0.0,88.0,0.0,2.0,49.505,2.0,61.832,1.8,12.0,0.0,0.0,4.12,55.676,8.8,1.52,0.24,0.24,1.24,0.72,0.04,2.24,52.336,4.56,1.16,0.16,0.68,1.64,0.28,0.08,2.24,47.664,4.56,1.16,0.16,0.68,1.64,0.28,0.08,4.12,44.324,8.8,1.52,0.24,0.24,1.24,0.72,0.04,0.0,12.0
2b1587a3376ab743,UFC 30: Battle on the Boardwalk,2001-02-23,"Atlantic City, New Jersey, USA",74d0da1f9df17b9e,welterweight,No,Submission,1,100,Three,Fabiano Iha,263ebd4a669e1e98,0.0,3.0,6.0,50.0,3.0,6.0,50.0,1.0,2.0,1.0,51.0,0.0,3.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,2.0,5.0,40.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,66.0,33.0,66.0,33.0,0.0,172.72,70.31,,Orthodox,1970-07-28,40,Phil Johns,a8fa0c4e95512806,0.0,2.0,3.0,66.667,6.0,7.0,85.714,0.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,50.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,157.48,77.11,,Southpaw,1968-10-22,0,Fabiano Iha,263ebd4a669e1e98,Red,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,32.0,,0.0,,0.0,1.6666666666666667,1.8,50.0,1.2,33.333,9.0,50.0,100.0,9.0,1.2,66.667,1.8,50.0,0.0,0.0,50.0,0.0,1.8,50.0,30.6,0.0,1.2,0.6,1.2,0.6,0.0,3.6,85.714,9.6,0.0,0.6,0.6,0.6,0.6,0.0,3.6,14.286,9.6,0.0,0.6,0.6,0.6,0.6,0.0,1.8,50.0,30.6,0.0,1.2,0.6,1.2,0.6,0.0,50.0,0.0
2b1587a3376ab743,UFC 30: Battle on the Boardwalk,2001-02-23,"Atlantic City, New Jersey, USA",75a401066ad784f6,heavyweight,No,KO/TKO,2,261,Three,Pedro Rizzo,b44f39a5c6596953,1.0,31.0,86.0,36.047,35.0,90.0,38.889,0.0,0.0,0.0,1.0,18.0,67.0,26.866,3.0,3.0,100.0,10.0,16.0,62.5,23.0,71.0,32.394,8.0,15.0,53.333,0.0,0.0,0.0,58.0,9.0,32.0,74.0,25.0,0.0,185.42,109.32,,Orthodox,1974-05-03,28,Josh Barnett,ad3f53c454cbbead,0.0,39.0,101.0,38.614,41.0,103.0,39.806,0.0,0.0,0.0,0.0,17.0,74.0,22.973,6.0,9.0,66.667,16.0,18.0,88.889,29.0,78.0,37.179,10.0,23.0,43.478,0.0,0.0,0.0,43.0,15.0,41.0,74.0,25.0,0.0,190.5,113.4,198.12,Orthodox,1977-11-10,55,Pedro Rizzo,b44f39a5c6596953,Red,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,23.0,,0.0,,0.0,9.35,3.316,36.047,4.171,61.386,0.0,0.0,0.0,0.0,4.171,38.614,3.316,63.953,0.0,0.0,0.0,0.0,3.743,38.889,0.107,1.925,0.321,1.07,2.46,0.856,0.0,4.385,39.806,0.0,1.818,0.642,1.711,3.102,1.07,0.0,4.385,60.194,0.0,1.818,0.642,1.711,3.102,1.07,0.0,3.743,61.111,0.107,1.925,0.321,1.07,2.46,0.856,0.0,0.0,0.0
2b1587a3376ab743,UFC 30: Battle on the Boardwalk,2001-02-23,"Atlantic City, New Jersey, USA",4a1f37200bc69376,middleweight,No,Submission,1,172,Three,Elvis Sinosic,817e0bdf08efce2e,0.0,2.0,5.0,40.0,21.0,24.0,87.5,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,2.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0.0,190.5,92.99,195.58,Orthodox,1971-02-13,0,Jeremy Horn,8d26912cd2aeb366,0.0,4.0,10.0,40.0,28.0,37.0,75.676,0.0,0.0,0.0,150.0,3.0,8.0,37.5,1.0,2.0,50.0,0.0,0.0,0.0,2.0,8.0,25.0,0.0,0.0,0.0,2.0,2.0,100.0,75.0,25.0,0.0,50.0,0.0,50.0,185.42,83.91,187.96,Orthodox,1975-08-25,38,Elvis Sinosic,817e0bdf08efce2e,Red,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,25.0,,0.0,,0.0,2.8666666666666667,0.698,40.0,1.395,60.0,0.0,0.0,0.0,10.465,1.395,40.0,0.698,60.0,0.0,0.0,0.0,0.0,7.326,87.5,0.0,0.0,0.349,0.349,0.698,0.0,0.0,9.767,75.676,52.326,1.047,0.349,0.0,0.698,0.0,0.698,9.767,24.324,52.326,1.047,0.349,0.0,0.698,0.0,0.698,7.326,12.5,0.0,0.0,0.349,0.349,0.698,0.0,0.0,0.0,0.0
20bd6c3e03c46ee6,UFC 31: Locked and Loaded,2001-05-04,"Atlantic City, New Jersey, USA",6f62436ae042009b,heavyweight,Yes,Decision - Unanimous,5,300,Five,Randy Couture,0aa92558424ced9e,0.0,69.0,118.0,58.475,147.0,197.0,74.619,3.0,15.0,0.0,478.0,51.0,96.0,53.125,3.0,4.0,75.0,15.0,18.0,83.333,28.0,57.0,49.123,20.0,26.0,76.923,21.0,35.0,60.0,73.0,4.0,21.0,40.0,28.0,30.0,185.42,92.99,190.5,Orthodox,1963-06-22,46,Pedro Rizzo,b44f39a5c6596953,1.0,42.0,108.0,38.889,76.0,144.0,52.778,0.0,0.0,0.0,256.0,27.0,90.0,30.0,3.0,3.0,100.0,12.0,15.0,80.0,29.0,85.0,34.118,7.0,14.0,50.0,6.0,9.0,66.667,64.0,7.0,28.0,69.0,16.0,14.0,185.42,109.32,,Orthodox,1974-05-03,28,Randy Couture,0aa92558424ced9e,Red,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,1,0,1,0,1,0.5,0,0,0,0,0,0,1,0,0,0,0,0,37.0,27.0,,0.0,70.0,70.0,25.0,2.76,58.475,1.68,61.111,1.8,20.0,0.0,0.0,1.68,38.889,2.76,41.525,0.0,0.0,80.0,0.0,5.88,74.619,19.12,2.04,0.12,0.6,1.12,0.8,0.84,3.04,52.778,10.24,1.08,0.12,0.48,1.16,0.28,0.24,3.04,47.222,10.24,1.08,0.12,0.48,1.16,0.28,0.24,5.88,25.381,19.12,2.04,0.12,0.6,1.12,0.8,0.84,20.0,0.0
20bd6c3e03c46ee6,UFC 31: Locked and Loaded,2001-05-04,"Atlantic City, New Jersey, USA",0434a68809885ea1,welterweight,No,KO/TKO,3,291,Three,Shonie Carter,7b6e40a73b567072,2.0,18.0,33.0,54.545,49.0,65.0,75.385,2.0,3.0,0.0,363.0,6.0,17.0,35.294,6.0,7.0,85.714,6.0,9.0,66.667,10.0,16.0,62.5,6.0,6.0,100.0,2.0,11.0,18.182,33.0,33.0,33.0,55.0,33.0,11.0,177.8,77.11,,Southpaw,1972-05-03,66,Matt Serra,86dfed7cc24a9fa7,0.0,10.0,25.0,40.0,27.0,44.0,61.364,2.0,13.0,3.0,271.0,5.0,18.0,27.778,2.0,2.0,100.0,3.0,5.0,60.0,5.0,19.0,26.316,3.0,4.0,75.0,2.0,2.0,100.0,50.0,20.0,30.0,50.0,30.0,20.0,167.64,77.11,172.72,Orthodox,1974-06-02,20,Shonie Carter,7b6e40a73b567072,Red,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,26.0,,0.0,,0.0,14.85,1.212,54.545,0.673,60.0,2.02,66.667,84.615,0.0,0.673,40.0,1.212,45.455,2.02,15.385,33.333,3.03,3.3,75.385,24.444,0.404,0.404,0.404,0.673,0.404,0.135,1.818,61.364,18.249,0.337,0.135,0.202,0.337,0.202,0.135,1.818,38.636,18.249,0.337,0.135,0.202,0.337,0.202,0.135,3.3,24.615,24.444,0.404,0.404,0.404,0.673,0.404,0.135,66.667,15.385
20bd6c3e03c46ee6,UFC 31: Locked and Loaded,2001-05-04,"Atlantic City, New Jersey, USA",c0be83e56601e7ce,light heavyweight,No,KO/TKO,1,78,Three,Chuck Liddell,a390eb8a9b2df298,1.0,3.0,5.0,60.0,4.0,6.0,66.667,0.0,0.0,0.0,2.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,66.0,33.0,0.0,66.0,33.0,0.0,187.96,92.99,193.04,Orthodox,1969-12-17,75,Kevin Randleman,6859f67468ba8489,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.8,92.99,,Orthodox,1971-08-10,56,Chuck Liddell,a390eb8a9b2df298,Red,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,29.0,,0.0,,0.0,1.3,2.308,60.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,2.308,40.0,0.0,0.0,0.0,0.0,3.077,66.667,1.538,1.538,0.769,0.0,1.538,0.769,0.0,0.769,100.0,30.769,0.0,0.0,0.0,0.0,0.0,0.0,0.769,0.0,30.769,0.0,0.0,0.0,0.0,0.0,0.0,3.077,33.333,1.538,1.538,0.769,0.0,1.538,0.769,0.0,0.0,0.0
20bd6c3e03c46ee6,UFC 31: Locked and Loaded,2001-05-04,"Atlantic City, New Jersey, USA",7a018ddd9239e45f,heavyweight,No,KO/TKO,2,88,Three,Semmy Schilt,d5ed14b2153c6ed2,2.0,15.0,26.0,57.692,22.0,34.0,64.706,0.0,0.0,0.0,22.0,5.0,14.0,35.714,8.0,9.0,88.889,2.0,3.0,66.667,11.0,20.0,55.0,2.0,4.0,50.0,2.0,2.0,100.0,33.0,53.0,13.0,73.0,13.0,13.0,208.28,120.2,,Orthodox,1973-10-27,0,Pete Williams,6291ac0a3726732f,0.0,6.0,9.0,66.667,14.0,18.0,77.778,1.0,4.0,0.0,287.0,6.0,8.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,33.333,0.0,0.0,0.0,5.0,6.0,83.333,100.0,0.0,0.0,16.0,0.0,83.0,190.5,106.59,,Orthodox,1975-07-10,40,Semmy Schilt,d5ed14b2153c6ed2,Red,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,25.0,,0.0,,0.0,6.466666666666667,2.32,57.692,0.928,33.333,0.0,0.0,75.0,0.0,0.928,66.667,2.32,42.308,2.32,25.0,0.0,0.0,3.402,64.706,3.402,0.773,1.237,0.309,1.701,0.309,0.309,2.165,77.778,44.381,0.928,0.0,0.0,0.155,0.0,0.773,2.165,22.222,44.381,0.928,0.0,0.0,0.155,0.0,0.773,3.402,35.294,3.402,0.773,1.237,0.309,1.701,0.309,0.309,0.0,25.0
20bd6c3e03c46ee6,UFC 31: Locked and Loaded,2001-05-04,"Atlantic City, New Jersey, USA",49693a06fc1d8906,welterweight,No,Decision - Unanimous,3,300,Three,Tony DeSouza,6ad9058b7c7898b0,0.0,28.0,48.0,58.333,51.0,71.0,71.831,5.0,5.0,0.0,599.0,27.0,47.0,57.447,1.0,1.0,100.0,0.0,0.0,0.0,1.0,6.0,16.667,2.0,3.0,66.667,25.0,39.0,64.103,96.0,3.0,0.0,3.0,7.0,89.0,182.88,77.11,177.8,Southpaw,1974-07-26,42,Steve Berger,21b1132949f2a9b0,0.0,2.0,18.0,11.111,108.0,129.0,83.721,0.0,0.0,3.0,67.0,2.0,18.0,11.111,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,11.765,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,180.34,77.11,,Orthodox,1973-05-20,40,Tony DeSouza,6ad9058b7c7898b0,Red,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,27.0,,0.0,,0.0,15.0,1.867,58.333,0.133,88.889,5.0,100.0,0.0,0.0,0.133,11.111,1.867,41.667,0.0,0.0,0.0,3.0,3.4,71.831,39.933,1.8,0.067,0.0,0.067,0.133,1.667,7.2,83.721,4.467,0.133,0.0,0.0,0.133,0.0,0.0,7.2,16.279,4.467,0.133,0.0,0.0,0.133,0.0,0.0,3.4,28.169,39.933,1.8,0.067,0.0,0.067,0.133,1.667,100.0,0.0
